store_id	正式店名	店名かな	別名・旧名	施設区分	大ジャンル	小ジャンル	都道府県	市区町村	住所	緯度	経度	最寄駅・交通	電話番号	公式URL	食べログURL	GoogleマップURL	営業状態	予約区分	昼予算	夜予算	最終確認日	確認状態	備考
FOD-1253	メディスンマン			飲食店	カレー	食べログ カレー 百名店 2020	北海道					北海道 中島公園通駅			https://tabelog.com/hokkaido/A0101/A010104/1003072/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー EAST / Tabelog ID 1003072 / https://award.tabelog.com/hyakumeiten/curry_east/2020
FOD-1254	ひげ男爵			飲食店	カレー	食べログ カレー 百名店 2020	北海道					北海道 バスセンター前駅			https://tabelog.com/hokkaido/A0101/A010102/1005374/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー EAST / Tabelog ID 1005374 / https://award.tabelog.com/hyakumeiten/curry_east/2020
FOD-1255	ベンベラ・ネットワークカンパニー			飲食店	カレー	食べログ カレー 百名店 2020	北海道					北海道 西８丁目駅			https://tabelog.com/hokkaido/A0101/A010102/1000587/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー EAST / Tabelog ID 1000587 / https://award.tabelog.com/hyakumeiten/curry_east/2020
FOD-1256	ラマイ 札幌北33条店			飲食店	カレー	食べログ カレー 百名店 2020	北海道					北海道 北３４条駅			https://tabelog.com/hokkaido/A0101/A010202/1007585/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー EAST / Tabelog ID 1007585 / https://award.tabelog.com/hyakumeiten/curry_east/2020
FOD-1257	カラバト・カリー			飲食店	カレー	食べログ カレー 百名店 2020	北海道					北海道 札幌市南区			https://tabelog.com/hokkaido/A0101/A010305/1002186/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー EAST / Tabelog ID 1002186 / https://award.tabelog.com/hyakumeiten/curry_east/2020
FOD-1258	スープカリー スアゲ プラス 本店			飲食店	カレー	食べログ カレー 百名店 2020	北海道					北海道 すすきの（市電）駅			https://tabelog.com/hokkaido/A0101/A010103/1006004/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー EAST / Tabelog ID 1006004 / https://award.tabelog.com/hyakumeiten/curry_east/2020
FOD-1259	カレー専門店cafe New Delhi			飲食店	カレー	食べログ カレー 百名店 2020	愛知県					愛知県 岩塚駅			https://tabelog.com/aichi/A2301/A230113/23007998/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー EAST / Tabelog ID 23007998 / https://award.tabelog.com/hyakumeiten/curry_east/2020
FOD-1260	SOUP CURRY KING 本店			飲食店	カレー	食べログ カレー 百名店 2020	北海道					北海道 南平岸駅			https://tabelog.com/hokkaido/A0101/A010303/1006357/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー EAST / Tabelog ID 1006357 / https://award.tabelog.com/hyakumeiten/curry_east/2020
FOD-1261	村上カレー店・プルプル			飲食店	カレー	食べログ カレー 百名店 2020	北海道					北海道 中央区役所前駅			https://tabelog.com/hokkaido/A0101/A010102/1000476/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー EAST / Tabelog ID 1000476 / https://award.tabelog.com/hyakumeiten/curry_east/2020
FOD-1262	イエロー			飲食店	カレー	食べログ カレー 百名店 2020	北海道					北海道 豊水すすきの駅			https://tabelog.com/hokkaido/A0101/A010103/1002181/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー EAST / Tabelog ID 1002181 / https://award.tabelog.com/hyakumeiten/curry_east/2020
FOD-1263	SOUP CURRY KING セントラル			飲食店	カレー	食べログ カレー 百名店 2020	北海道					北海道 狸小路駅			https://tabelog.com/hokkaido/A0101/A010102/1055662/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー EAST / Tabelog ID 1055662 / https://award.tabelog.com/hyakumeiten/curry_east/2020
FOD-1264	カフェパハナ			飲食店	カレー	食べログ カレー 百名店 2020	愛知県					愛知県 金山駅			https://tabelog.com/aichi/A2301/A230105/23037973/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー EAST / Tabelog ID 23037973 / https://award.tabelog.com/hyakumeiten/curry_east/2020
FOD-1265	Handi レストラン			飲食店	カレー	食べログ カレー 百名店 2020	千葉県					千葉県 野田市			https://tabelog.com/chiba/A1203/A120305/12026828/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー EAST / Tabelog ID 12026828 / https://award.tabelog.com/hyakumeiten/curry_east/2020
FOD-1266	マタレー 円山店			飲食店	カレー	食べログ カレー 百名店 2020	北海道					北海道 円山公園駅			https://tabelog.com/hokkaido/A0101/A010105/1025101/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー EAST / Tabelog ID 1025101 / https://award.tabelog.com/hyakumeiten/curry_east/2020
FOD-1267	唯我独尊			飲食店	カレー	食べログ カレー 百名店 2020	北海道					北海道 富良野市			https://tabelog.com/hokkaido/A0104/A010403/1000063/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー EAST / Tabelog ID 1000063 / https://award.tabelog.com/hyakumeiten/curry_east/2020
FOD-1268	ガネーシュ			飲食店	カレー	食べログ カレー 百名店 2020	神奈川県					神奈川県 能見台駅			https://tabelog.com/kanagawa/A1401/A140310/14012113/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー EAST / Tabelog ID 14012113 / https://award.tabelog.com/hyakumeiten/curry_east/2020
