store_id	tabelog_id	listed_name	prefecture	tabelog_url	primary_genre	category_labels	match_method
FOD-0549	13223460	SATOブリアン さんごう	東京都	https://tabelog.com/tokyo/A1319/A131905/13223460/	焼肉	焼肉 TOKYO	tid
FOD-0385	13012243	焼肉 鶯谷園	東京都	https://tabelog.com/tokyo/A1311/A131104/13012243/	焼肉	焼肉 TOKYO	name_pref
FOD-0617	13001794	炭火焼 ゆうじ	東京都	https://tabelog.com/tokyo/A1303/A130301/13001794/	焼肉	焼肉 TOKYO	tid
FOD-0325	13160962	焼肉 ジャンボ はなれ	東京都	https://tabelog.com/tokyo/A1310/A131004/13160962/	焼肉	焼肉 TOKYO	name_pref
FOD-0472	13001625	炭焼 金竜山	東京都	https://tabelog.com/tokyo/A1316/A131602/13001625/	焼肉	焼肉 TOKYO	name_pref
FOD-0548	13127046	SATOブリアン 本店	東京都	https://tabelog.com/tokyo/A1319/A131905/13127046/	焼肉	焼肉 TOKYO	tid
FOD-0551	13216529	サトブリDA	東京都	https://tabelog.com/tokyo/A1319/A131905/13216529/	焼肉	焼肉 TOKYO	tid
FOD-0682	27052134	生ホルモン処 おさむちゃん。	大阪府	https://tabelog.com/osaka/A2705/A270501/27052134/	焼肉	焼肉 WEST	tid
FOD-0733	45000273	みょうが屋	宮崎県	https://tabelog.com/miyazaki/A4501/A450101/45000273/	焼肉	焼肉 WEST	tid
FOD-0528	26000658	グリルフレンチ	京都府	https://tabelog.com/kyoto/A2601/A260203/26000658/	洋食	洋食 全国	tid
