tabelog_id	listed_name	prefecture	area_text	tabelog_url	primary_genre	category_slugs	category_labels	listing_count	first_source_url
13185945	パーラー江古田	東京都	東京都 新桜台駅	https://tabelog.com/tokyo/A1321/A132101/13185945/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13174215	SONKA	東京都	東京都 南阿佐ケ谷駅	https://tabelog.com/tokyo/A1319/A131905/13174215/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13162267	ザ・シティ・ベーカリー 品川	東京都	東京都 品川駅	https://tabelog.com/tokyo/A1314/A131403/13162267/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13043904	VIRON	東京都	東京都 東京駅	https://tabelog.com/tokyo/A1302/A130201/13043904/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13035704	アルチザン・ブーランジェ・クピド	東京都	東京都 奥沢駅	https://tabelog.com/tokyo/A1317/A131711/13035704/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13056438	パサージュ ア ニヴォ	東京都	東京都 武蔵境駅	https://tabelog.com/tokyo/A1320/A132003/13056438/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13129736	トラスパレンテ 学芸大学	東京都	東京都 学芸大学駅	https://tabelog.com/tokyo/A1317/A131702/13129736/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13056511	カフェむぎわらい	東京都	東京都 三ノ輪橋駅	https://tabelog.com/tokyo/A1311/A131104/13056511/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13093803	TOLO PAN TOKYO	東京都	東京都 池尻大橋駅	https://tabelog.com/tokyo/A1317/A131705/13093803/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13193559	ル パン ドゥ ジョエル･ロブション ニュウマン新宿店	東京都	東京都 新宿駅	https://tabelog.com/tokyo/A1304/A130401/13193559/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13048404	イトキト	東京都	東京都 大岡山駅	https://tabelog.com/tokyo/A1317/A131711/13048404/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13014064	ラ ブティック ドゥ ジョエル・ロブション 恵比寿ガーデンプレイス店	東京都	東京都 恵比寿駅	https://tabelog.com/tokyo/A1303/A130302/13014064/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13059417	ブーランジェリー&カフェ マンマーノ	東京都	東京都 代々木上原駅	https://tabelog.com/tokyo/A1318/A131811/13059417/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13193897	ザ・シティ・ベーカリー 東急プラザ銀座店	東京都	東京都 銀座駅	https://tabelog.com/tokyo/A1301/A130101/13193897/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13124863	オリミネベーカーズ 築地七丁目店	東京都	東京都 築地駅	https://tabelog.com/tokyo/A1313/A131301/13124863/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13114277	ピエール・ガニェール パン・エ・ガトー	東京都	東京都 六本木一丁目駅	https://tabelog.com/tokyo/A1308/A130802/13114277/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13044661	セル・オ・ブレ	東京都	東京都 武蔵小山駅	https://tabelog.com/tokyo/A1317/A131710/13044661/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13129587	カイソ	東京都	東京都 世田谷代田駅	https://tabelog.com/tokyo/A1318/A131812/13129587/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13128350	ブレッド&タパス 沢村 広尾	東京都	東京都 広尾駅	https://tabelog.com/tokyo/A1307/A130703/13128350/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13004211	ブティック・トロワグロ 小田急百貨店　新宿店	東京都	東京都 新宿駅	https://tabelog.com/tokyo/A1304/A130401/13004211/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13169306	ジャン フランコ	東京都	東京都 用賀駅	https://tabelog.com/tokyo/A1317/A131707/13169306/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13038468	ポワンエリーニュ	東京都	東京都 大手町駅	https://tabelog.com/tokyo/A1302/A130201/13038468/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13005834	ダンディゾン	東京都	東京都 吉祥寺駅	https://tabelog.com/tokyo/A1320/A132001/13005834/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13002489	ビゴの店	東京都	東京都 銀座一丁目駅	https://tabelog.com/tokyo/A1301/A130101/13002489/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13020179	パン家のどん助	東京都	東京都 東新宿駅	https://tabelog.com/tokyo/A1304/A130401/13020179/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13201307	俺のBakery&Cafe 恵比寿	東京都	東京都 恵比寿駅	https://tabelog.com/tokyo/A1303/A130302/13201307/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
13024601	エムサイズ	東京都	東京都 学芸大学駅	https://tabelog.com/tokyo/A1317/A131702/13024601/	パン	bread_tokyo	パン TOKYO	1	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
