listing_id	category_slug	genre	region	category_ordinal	listed_name	prefecture	area_text	tabelog_url	tabelog_id	source_url	category_official_count
HYK2020-0026	bread_tokyo	パン	TOKYO	26	ラトリエ ドゥ プレジール	東京都	東京都 祖師ケ谷大蔵駅	https://tabelog.com/tokyo/A1318/A131814/13050412/	13050412	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0027	bread_tokyo	パン	TOKYO	27	ルヴァン 富ヶ谷店	東京都	東京都 代々木八幡駅	https://tabelog.com/tokyo/A1318/A131810/13001841/	13001841	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0028	bread_tokyo	パン	TOKYO	28	ブーランジェリーブルディガラ 広尾店	東京都	東京都 広尾駅	https://tabelog.com/tokyo/A1307/A130703/13000523/	13000523	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0029	bread_tokyo	パン	TOKYO	29	メゾン・イチ 代官山	東京都	東京都 代官山駅	https://tabelog.com/tokyo/A1303/A130303/13099140/	13099140	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0030	bread_tokyo	パン	TOKYO	30	ル パン ドゥ ジョエル・ロブション 渋谷ヒカリエShinQs店	東京都	東京都 渋谷駅	https://tabelog.com/tokyo/A1303/A130301/13140263/	13140263	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0031	bread_tokyo	パン	TOKYO	31	カフェむぎわらい	東京都	東京都 三ノ輪橋駅	https://tabelog.com/tokyo/A1311/A131104/13056511/	13056511	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0032	bread_tokyo	パン	TOKYO	32	ポワンタージュ	東京都	東京都 麻布十番駅	https://tabelog.com/tokyo/A1307/A130702/13004566/	13004566	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0033	bread_tokyo	パン	TOKYO	33	VIRON	東京都	東京都 東京駅	https://tabelog.com/tokyo/A1302/A130201/13043904/	13043904	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0034	bread_tokyo	パン	TOKYO	34	とらやベーカリー	東京都	東京都 金町駅	https://tabelog.com/tokyo/A1324/A132403/13050971/	13050971	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0035	bread_tokyo	パン	TOKYO	35	ビゴの店	東京都	東京都 銀座一丁目駅	https://tabelog.com/tokyo/A1301/A130101/13002489/	13002489	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0036	bread_tokyo	パン	TOKYO	36	チクテベーカリー	東京都	東京都 南大沢駅	https://tabelog.com/tokyo/A1329/A132904/13153557/	13153557	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0037	bread_tokyo	パン	TOKYO	37	パサージュ ア ニヴォ	東京都	東京都 武蔵境駅	https://tabelog.com/tokyo/A1320/A132003/13056438/	13056438	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0038	bread_tokyo	パン	TOKYO	38	エムサイズ	東京都	東京都 学芸大学駅	https://tabelog.com/tokyo/A1317/A131702/13024601/	13024601	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0039	bread_tokyo	パン	TOKYO	39	メゾン・ランドゥメンヌ 麻布台	東京都	東京都 六本木一丁目駅	https://tabelog.com/tokyo/A1307/A130701/13180316/	13180316	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0040	bread_tokyo	パン	TOKYO	40	墨繪パン 新宿店	東京都	東京都 新宿駅	https://tabelog.com/tokyo/A1304/A130401/13000762/	13000762	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0041	bread_tokyo	パン	TOKYO	41	エスプリ・ド・ビゴ	東京都	東京都 九品仏駅	https://tabelog.com/tokyo/A1317/A131703/13003252/	13003252	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0042	bread_tokyo	パン	TOKYO	42	カーラ・アウレリア 大丸東京店	東京都	東京都 東京駅	https://tabelog.com/tokyo/A1302/A130201/13044993/	13044993	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0043	bread_tokyo	パン	TOKYO	43	ジャン フランコ	東京都	東京都 用賀駅	https://tabelog.com/tokyo/A1317/A131707/13169306/	13169306	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0044	bread_tokyo	パン	TOKYO	44	BAGEL STANDARD	東京都	東京都 中目黒駅	https://tabelog.com/tokyo/A1317/A131701/13108159/	13108159	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0045	bread_tokyo	パン	TOKYO	45	ダンディゾン	東京都	東京都 吉祥寺駅	https://tabelog.com/tokyo/A1320/A132001/13005834/	13005834	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0046	bread_tokyo	パン	TOKYO	46	ル・ルソール	東京都	東京都 駒場東大前駅	https://tabelog.com/tokyo/A1318/A131801/13026653/	13026653	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0047	bread_tokyo	パン	TOKYO	47	シニフィアン シニフィエ 世田谷本店	東京都	東京都 三軒茶屋駅	https://tabelog.com/tokyo/A1317/A131706/13030788/	13030788	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0048	bread_tokyo	パン	TOKYO	48	ポム・ド・テール	東京都	東京都 西荻窪駅	https://tabelog.com/tokyo/A1319/A131907/13009237/	13009237	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0049	bread_tokyo	パン	TOKYO	49	AOSAN	東京都	東京都 仙川駅	https://tabelog.com/tokyo/A1326/A132601/13047751/	13047751	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0050	bread_tokyo	パン	TOKYO	50	VIRON 渋谷店	東京都	東京都 神泉駅	https://tabelog.com/tokyo/A1303/A130301/13004626/	13004626	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0051	bread_tokyo	パン	TOKYO	51	ザ・シティ・ベーカリー 東急プラザ銀座店	東京都	東京都 銀座駅	https://tabelog.com/tokyo/A1301/A130101/13193897/	13193897	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
